timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible,goal_reached
1768074549.8356175,0.5075668213606943,-0.44217815160136853,0.9911679,0.25,-0.4588235294117647,1,1,0
1768074550.469659,0.3675794191262747,-0.3866520930712454,0.98431,0.1607142857142857,-0.3529411764705882,1,1,0
1768074551.082201,0.3355283786603931,-0.34186427272410924,1.0300963,0.125,-0.2823529411764706,1,1,0
1768074551.7464602,0.20936793761813396,-0.2227611095375599,1.1164795,0.0,-0.10588235294117643,1,1,1
1768074552.364712,0.24877204051460164,-0.18197535569664636,0.9404698,0.0,-0.10588235294117643,1,1,0
1768074552.9548767,0.344792545483847,-0.2054311392815804,0.7827844,0.0,-0.10588235294117643,1,1,0
1768074553.626592,0.3447290356051685,-0.17452405548563155,0.697006,0.05357142857142857,-0.10588235294117643,1,1,0
1768074554.3229918,0.5056145037762982,-0.20951666416215042,0.6223922,0.23214285714285712,-0.2117647058823529,1,1,0
1768074555.097475,0.6727989831499812,-0.24358472052791846,0.6122777,0.25,-0.2117647058823529,1,1,0
1768074555.7161686,0.5748109209460815,-0.17300452432876634,0.6074519,0.25,-0.1764705882352941,1,1,0
1768074556.3670402,0.6268726688829533,-0.16249881557892598,0.61690974,0.25,-0.1411764705882353,1,1,0
1768074556.9662457,0.6865914900552397,-0.1377523108424561,0.5703994,0.23214285714285712,-0.10588235294117643,1,1,0
1768074557.6055913,0.5341840597014555,-0.06366018509846239,0.50435245,0.25,-0.07058823529411762,1,1,0
1768074558.262229,0.6023000427952221,-0.048482271157667345,0.44136184,0.23214285714285712,-0.03529411764705881,1,1,0
1768074558.8688161,0.677003073993156,-0.040762143752944624,0.39815325,0.25,-0.03529411764705881,1,1,0
1768074559.5058897,0.5288435283459549,-0.011117666127139714,0.36050987,0.23214285714285712,0.0,1,1,0
1768074560.11626,0.6219606528336813,-0.034348758231550036,0.34291637,0.25,-0.03529411764705881,1,1,0
1768074560.7190242,0.4738423440372684,-0.026826531733209258,0.34075046,0.21428571428571427,-0.03529411764705881,1,1,0
1768074561.3769817,0.5566922425457337,-0.06321216807479058,0.328914,0.25,-0.07058823529411762,1,1,0
1768074559.6465511,0.6365576591915214,-0.07848905113754778,0.34297484,0.25,-0.07058823529411762,1,1,0
1768074562.136602,0.6559797091010093,-0.07142878414679688,0.59671164,0.25,-0.07058823529411762,0,0,0
1768074562.8632042,0.6559797091010093,-0.07142878414679688,0.59671164,0.25,-0.07058823529411762,0,0,0
1768074563.598954,0.48616755893596475,-0.03948323003236309,0.5839665,0.21428571428571427,-0.03529411764705881,0,0,0
1768074564.417509,0.5024130421026086,-0.011155762688486615,0.5589417,0.21428571428571427,0.0,1,1,0
1768074565.1886353,0.4966808878729806,0.01638602731248584,0.51728463,0.21428571428571427,0.0,1,1,0
1768074565.88338,0.3364516079323008,0.04098227435734891,0.45891207,0.14285714285714285,0.03529411764705881,1,1,0
1768074566.6292183,0.35343834536127433,0.012432692969315706,0.4681303,0.14285714285714285,0.0,1,1,0
1768074567.2955554,0.4007820276754891,-0.03556491183751609,0.45509344,0.17857142857142855,-0.03529411764705881,1,1,0
1768074567.9517589,0.473054765555051,-0.09950913598009103,0.4270897,0.23214285714285712,-0.10588235294117643,1,1,0
1768074568.6400852,0.37054057384764266,-0.11864072207443943,0.38436356,0.14285714285714285,-0.10588235294117643,1,1,0
1768074569.268453,0.40822564837262104,-0.14613717968609174,0.35530612,0.14285714285714285,-0.10588235294117643,1,1,0
1768074569.8666463,0.45377071246551537,-0.13099809136140417,0.32988304,0.14285714285714285,-0.10588235294117643,1,1,0
1768074570.4272387,0.3716107482941511,-0.09198031747382052,0.3050426,0.10714285714285714,-0.07058823529411762,1,1,0
1768074570.8899577,0.45910350508839604,-0.05301708518608583,0.26421773,0.05357142857142857,-0.03529411764705881,1,1,0
1768074571.153487,0.3994781294287356,-0.01248080412265029,0.23656642,0.017857142857142856,0.0,1,1,0
1768074571.4163876,0.546443411737808,-0.010912742348672122,0.23555525,0.017857142857142856,0.0,1,1,0
1768074571.5126774,0.529278246509998,0.0019702017861891186,0.22074941,0.0,0.0,1,1,0
